front,back,id,active
見,"see, look [on ケン, kun み.る]",1,
電,"electricity [on デン, kun ---]",2,
高,"tall, expensive [on コウ, kun たか.い]",3,
午,"noon [on ゴ, kun うま]",4,
六,"six [on ロク, kun む]",5,
水,"water [on スイ, kun みず]",6,
日,"day, sun [on ニチ, kun ひ]",7,
車,"car [on シャ, kun くるま]",8,
生,"life, genuine, birth, student [on セイ, kun いきる]",9,
店,"store, shop [on テン, kun みせ]",10,
行,"go [on コウ, kun いく]",11,
聞,"hear, ask, listen [on ブン, kun きく]",12,
子,"child [on シ, kun こ]",13,
母,"mother [on ボ, kun はは]",14,
買,"buy [on バイ, kun かう]",15,
十,"ten [on ジュウ, kun とお]",16,
駅,"station [on エキ, kun ---]",17,
川,"river, stream [on セン, kun かわ]",18,
長,"long [on チョウ, kun ながい]",19,
七,"seven [on シチ, kun なな]",20,
出,"exit, leave [on シュツ, kun でる]",21,
女,"woman, female [on ジョ, kun おんな]",22,
何,"what [on カ, kun なに]",23,
食,"eat [on ショク, kun くう]",24,
先,"previous [on セン, kun さき]",25,
目,"eye, insight [on モク, kun め]",26,
火,"fire [on カ, kun ひ]",27,
魚,"fish [on ギョ, kun うお]",28,
三,"three [on サン, kun み]",29,
百,"hundred [on ヒャク, kun もも]",30,
書,"write [on ショ, kun かく]",31,
古,"old [on コ, kun ふるい]",32,
多,"many, much [on タ, kun おおい]",33,
南,"south [on ナン, kun みなみ]",34,
飲,"drink [on イン, kun のむ]",35,
中,"in, inside, middle [on チュウ, kun なか]",36,
道,"street [on ドウ, kun みち]",37,
会,"meeting, assembly [on カイ, kun あう]",38,
名,"name, distinguished [on メイ, kun な]",39,
口,"mouth [on コウ, kun くち]",40,
北,"north [on ホク, kun きた]",41,
人,"person [on ジン or ニン, kun ひと]",42,
土,"soil, earth, ground [on ド, kun つち]",43,
入,"enter, insert [on ニュウ, kun いる]",44,
二,"two [on ニ, kun ふた]",45,
間,"interval, between [on カン, kun あいだ]",46,
安,"cheap, quiet [on アン, kun やすい]",47,
手,"hand [on シュ, kun て]",48,
雨,"rain [on ウ, kun あめ]",49,
白,white [on ハク kun しろ],50,
後,"behind, later [on ゴ, kun うしろ, あと, のち]",51,
花,"flower [on カ, kun はな]",52,
本,"book [on ホン, kun もと]",53,
友,"friend [on ユウ, kun とも]",54,
万,"ten thousand [on マン, kun よろず]",55,
山,"mountain [on サン, kun やま]",56,
金,"gold [on キン, kun かね]",57,
国,"country [on コク, kun くに]",58,
週,"week [on シュウ, kun ---]",59,
左,"left [on サ, kun ひだり]",60,
西,"west [on セイ, kun にし]",61,
社,"company [on シャ, kun やしろ]",62,
新,"new [on シン, kun あたらしい]",63,
大,"large, big [on ダイ, kun おお-]",64,
父,"father [on フ, kun ちち]",65,
耳,"ear [on ジ, kun みみ]",66,
語,"language [on ゴ, kun かたる]",67,
五,"five [on ゴ, kun いつ]",68,
休,"rest [on キュウ, kun やすむ]",69,
少,"few, little [on ショウ, kun すく.ない]",70,
下,"below, down [on カ, kun した]",71,
来,"come, next [on ライ, kun くる]",72,
言,"say, word [on ゲン, kun いう]",73,
半,"half [on ハン, kun なかば]",74,
上,"above, up [on ジョウ, kun うえ]",75,
東,"east [on トウ, kun ひがし]",76,
読,"read [on ドク, kun よむ]",77,
千,"thousand [on セン, kun ち]",78,
年,"year [on ネン, kun とし]",79,
時,"time, hour (on ジ, kun とき]",80,
右,"right [on ウ, kun みぎ]",81,
空,"sky, empty, void [on クウ, kun そら]",82,
前,"in front, before [on ゼン, kun まえ]",83,
天,"sky, heaven, imperial [on テン, kun あまつ]",84,
足,"leg, foot [on ソク, kun あし]",85,
毎,"every [on マイ, kun ごと]",86,
話,"tale, talk [on ワ, kun はなす]",87,
校,"school [on コウ, kun ---]",88,
月,"month, moon [on ゲツ, kun つき]",89,
一,"one [on イチ, kun ひと]",90,
九,"nine [on キュウ, kun ここの]",91,
分,"minute, part [on ブン, kun わける]",92,
男,"man, male [on ダン, kun おとこ]",93,
木,"tree, wood [on ボク, kun き]",94,
外,"outside [on ガイ, kun そと]",95,
円,"circle, yen [on エン, kun まるい]",96,
四,"four [on シ, kun よ]",97,
八,"eight [on ハチ, kun や]",98,
気,"spirit, mind, air [on キ, kun いき]",99,
小,"little, small [on ショウ, kun ちいさい]",100,
今,"now [on コン, kun いま]",101,
学,"study [on ガク, kun まなぶ]",102,
立,"stand up [on リツ, kun たつ]",103,
痛,"pain, painful [on ツウ, kun いたい]",104,
茶,"tea [on チャ, kun —]",105,
帰,"return, go home [on キ, kun かえ]",106,
朝,"morning [on チョウ, kun あさ]",107,
