見,"see, look [on ケン, kun み.る]"
電,"electricity [on デン, kun ---]"
高,"tall, expensive [on コウ, kun たか.い]"
午,"noon [on ゴ, kun うま]"
六,"six [on ロク, kun む]"
水,"water [on スイ, kun みず]"
日,"day, sun [on ニチ, kun ひ]"
車,"car [on シャ, kun くるま]"
生,"life, genuine, birth, student [on セイ, kun いきる]"
店,"store, shop [on テン, kun みせ]"
行,"go [on コウ, kun いく]"
聞,"hear, ask, listen [on ブン, kun きく]"
子,"child [on シ, kun こ]"
母,"mother [on ボ, kun はは]"
買,"buy [on バイ, kun かう]"
十,"ten [on ジュウ, kun とお]"
駅,"station [on エキ, kun ---]"
川,"river, stream [on セン, kun かわ]"
長,"long [on チョウ, kun ながい]"
七,"seven [on シチ, kun なな]"
出,"exit, leave [on シュツ, kun でる]"
女,"woman, female [on ジョ, kun おんな]"
何,"what [on カ, kun なに]"
食,"eat [on ショク, kun くう]"
先,"previous [on セン, kun さき]"
目,"eye, insight [on モク, kun め]"
火,"fire [on カ, kun ひ]"
魚,"fish [on ギョ, kun うお]"
三,"three [on サン, kun み]"
百,"hundred [on ヒャク, kun もも]"
書,"write [on ショ, kun かく]"
古,"old [on コ, kun ふるい]"
多,"many, much [on タ, kun おおい]"
南,"south [on ナン, kun みなみ]"
飲,"drink [on イン, kun のむ]"
中,"in, inside, middle [on チュウ, kun なか]"
道,"street [on ドウ, kun みち]"
会,"meeting, assembly [on カイ, kun あう]"
名,"name, distinguished [on メイ, kun な]"
口,"mouth [on コウ, kun くち]"
北,"north [on ホク, kun きた]"
人,"person [on ジン or ニン, kun ひと]"
土,"soil, earth, ground [on ド, kun つち]"
入,"enter, insert [on ニュウ, kun いる]"
二,"two [on ニ, kun ふた]"
間,"interval, between [on カン, kun あいだ]"
安,"cheap, quiet [on アン, kun やすい]"
手,"hand [on シュ, kun て]"
雨,"rain [on ウ, kun あめ]"
白,white [on ハク kun しろ]
後,"behind, later [on ゴ, kun うしろ, あと, のち]"
花,"flower [on カ, kun はな]"
本,"book [on ホン, kun もと]"
友,"friend [on ユウ, kun とも]"
万,"ten thousand [on マン, kun よろず]"
山,"mountain [on サン, kun やま]"
金,"gold [on キン, kun かね]"
国,"country [on コク, kun くに]"
週,"week [on シュウ, kun ---]"
左,"left [on サ, kun ひだり]"
西,"west [on セイ, kun にし]"
社,"company [on シャ, kun やしろ]"
新,"new [on シン, kun あたらしい]"
大,"large, big [on ダイ, kun おお-]"
父,"father [on フ, kun ちち]"
耳,"ear [on ジ, kun みみ]"
語,"language [on ゴ, kun かたる]"
五,"five [on ゴ, kun いつ]"
休,"rest [on キュウ, kun やすむ]"
少,"few, little [on ショウ, kun すく.ない]"
下,"below, down [on カ, kun した]"
来,"come, next [on ライ, kun くる]"
言,"say, word [on ゲン, kun いう]"
半,"half [on ハン, kun なかば]"
上,"above, up [on ジョウ, kun うえ]"
東,"east [on トウ, kun ひがし]"
読,"read [on ドク, kun よむ]"
千,"thousand [on セン, kun ち]"
年,"year [on ネン, kun とし]"
時,"time, hour (on ジ, kun とき]"
右,"right [on ウ, kun みぎ]"
空,"sky, empty, void [on クウ, kun そら]"
前,"in front, before [on ゼン, kun まえ]"
天,"sky, heaven, imperial [on テン, kun あまつ]"
足,"leg, foot [on ソク, kun あし]"
毎,"every [on マイ, kun ごと]"
話,"tale, talk [on ワ, kun はなす]"
校,"school [on コウ, kun ---]"
月,"month, moon [on ゲツ, kun つき]"
一,"one [on イチ, kun ひと]"
九,"nine [on キュウ, kun ここの]"
分,"minute, part [on ブン, kun わける]"
男,"man, male [on ダン, kun おとこ]"
木,"tree, wood [on ボク, kun き]"
外,"outside [on ガイ, kun そと]"
円,"circle, yen [on エン, kun まるい]"
四,"four [on シ, kun よ]"
八,"eight [on ハチ, kun や]"
気,"spirit, mind, air [on キ, kun いき]"
小,"little, small [on ショウ, kun ちいさい]"
今,"now [on コン, kun いま]"
学,"study [on ガク, kun まなぶ]"
立,"stand up [on リツ, kun たつ]"
痛,"pain, painful [on ツウ, kun いたい]"
茶,"tea [on チャ, kun —]"
帰,"return, go home [on キ, kun かえ]"
朝,"morning [on チョウ, kun あさ]"
近,"near, close [on キン, kun ちか]"
曜,"day of the week [on ヨウ, kun —]"
肉,"meat, flesh [on ニク, kun —]"
晩,"evening, night [on バン, kun —]"
乗,"ride, board [on ジョウ, kun の]"
末,"end, tip, remainder [on マツ, バツ, kun すえ]"
住,"live, reside [on ジュウ, kun すむ]"
昼,"daytime, noon [on チュウ, kun ひる] HIRUgohan"
海,"sea, ocean [on カイ, kun うみ]"
回,"times, occurrences, return [on カイ, エ, kun まわる, まわす]"
色,"color [on ショク, シキ, kun いろ]"
酒,"alcohol, sake [on シュ, kun さけ]"
料理,"cooking, cuisine [on リョウ, リ, kun —]"
場所,"place, location [on ジョウ, ショ, kun ば]"
作,"make, create [on サク, サ, kun つくる]"
走,"run [on ソウ, kun はしる]"
明,"bright, clear [on メイ, ミョウ, kun あかるい, あきらか] 明日 = tomorrow"
昨,"previous, last [on サク, kun —] 昨日 = yday"
本当,"true, truth, really [on ホン, トウ, kun —]"
好,"like, fond of [on コウ, kun すく, このむ]"
階,"floor, story, stairs [on カイ, kun きざはし]"
家,"house, home, family [on カ, ケ, kun いえ, や]"
物,"thing, object [on ブツ, モツ, kun もの]"
卵,"egg [on ラン, kun たまご]"
島,"island [on トウ, kun しま]"
皆,"everyone, all [on カイ, kun みな]"
死,"death, die [on シ, kun しぬ]"
飯,"meal, cooked rice [on ハン, kun めし] goHAN"
大,"big, large [on ダイ, タイ, kun おおきい, おお]"
